"gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","account_age","min_balance","max_balance","amount","duration","payments","status","type"
"Female",1970,"Pisek","south Bohemia",70699,65.3,8968,2.83,3.35,131,1740,1910,0.52,3.09,170,1825,0.0258136607307034,"monthly issuance",4528.64090909091,4577.37894736842,5.13636363636364,5,1000,30414.8,NA,NA,NA,NA,NA
"Male",1945,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,"monthly issuance",20789.5727272727,22316.0666666667,4.90909090909091,7,1100,67529.6,80952,24,3373,1,NA
"Female",1938,"Trutnov","east Bohemia",121947,70.5,8541,2.51,2.97,131,3496,3839,0.46,2.74,343,3667.5,0.030074540579104,"monthly issuance",5174.59090909091,5329.6,3.54545454545455,4,800,30623.5,NA,NA,NA,NA,NA
"Male",1943,"Hodonin","south Moravia",161954,48,8720,3.73,4.5,116,3729,3651,0.77,4.115,-78,3690,0.0227842473788854,"monthly issuance",6563.82142857143,6533.81739130435,4.42857142857143,6,900,40391.5,NA,NA,NA,NA,NA
"Male",1981,"Teplice","north Bohemia",128118,85.3,9317,6.49,7.07,97,6949,6872,0.58,6.78,-77,6910.5,0.0539385566430946,"monthly issuance",17452.7,6600,2,4,900,34875,NA,NA,NA,NA,NA
"Female",1974,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,"monthly issuance",21584.5125,21666.6142857143,5.3125,5,900,75952.3,NA,NA,NA,NA,NA
"Female",1918,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,"monthly issuance",4674.53541666667,4256.49777777778,5.10416666666667,7,400,78753,NA,NA,NA,NA,NA
"Male",1934,"Sumperk","north Moravia",127369,51.2,8369,4.73,5.88,107,3736,2807,1.15,5.305,-929,3271.5,0.0256852138275405,"monthly issuance",16861.6,12100,2.6,4,1100,65638.5,NA,NA,NA,NA,NA
"Male",1942,"Pardubice","east Bohemia",162580,72.8,9538,1.51,1.81,111,6079,5410,0.3,1.66,-669,5744.5,0.0353333743387871,"monthly issuance",3583.98,2261.14545454545,3.73333333333333,5,300,31304.6,NA,NA,NA,NA,NA
"Female",1969,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"monthly issuance",19017.3153846154,19138.1351351351,5.66666666666667,7,800,66670.5,NA,NA,NA,NA,NA
"Female",1957,"Ostrava - mesto","north Moravia",323870,100,10673,4.75,5.44,100,18782,18347,0.69,5.095,-435,18564.5,0.0573208386080835,"weekly issuance",23103.7928571429,25503.2432432432,4.34883720930233,7,575.7,155603.3,NA,NA,NA,NA,NA
"Male",1962,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,"monthly issuance",18629.1692307692,20574.9818181818,6.15384615384615,5,715,58157.5,NA,NA,NA,NA,NA
"Female",1978,"Melnik","central Bohemia",94725,63.4,9920,2.26,2.87,130,4289,4846,0.61,2.565,557,4567.5,0.0482185273159145,"monthly issuance",24042.6386363636,22935.7069767442,5.31818181818182,7,800,72983.2,NA,NA,NA,NA,NA
"Female",1957,"Kolin","central Bohemia",95616,51.4,9307,3.85,4.43,118,2616,3040,0.58,4.14,424,2828,0.029576639892905,"monthly issuance",27157.9682926829,27783.3897435897,5.41463414634146,7,800,83469.3,NA,NA,NA,NA,NA
"Male",1968,"Domazlice","west Bohemia",58400,52.4,8620,1.1,1.25,100,1089,1117,0.15,1.175,28,1103,0.0188869863013699,"monthly issuance",9657.8,9609.13157894736,5.3,7,900,40464.1,NA,NA,NA,NA,"gold"
"Female",1977,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,"monthly issuance",18968.3692307692,18634.544,6.80769230769231,6,700,59950.3,NA,NA,NA,NA,NA
"Female",1940,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,"monthly issuance",46799.4545454546,49740,6.18181818181818,5,400,129089.9,NA,NA,NA,NA,NA
