"owner_id","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","owner_ager","account_age","min_balance","max_balance","gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","amount","duration","payments","status","type"
1,"monthly issuance",4528.64090909091,4577.37894736842,5.13636363636364,30,5,1000,30414.8,"Female",1970,"Pisek","south Bohemia",70699,65.3,8968,2.83,3.35,131,1740,1910,0.52,3.09,170,1825,0.0258136607307034,0,0,0,0,""
2,"monthly issuance",20789.5727272727,22316.0666666667,4.90909090909091,55,7,1100,67529.6,"Male",1945,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,80952,24,3373,1,""
6,"monthly issuance",5174.59090909091,5329.6,3.54545454545455,81,4,800,30623.5,"Male",1919,"Pribram","central Bohemia",107870,58,8754,3.83,4.31,137,3804,3868,0.48,4.07,64,3836,0.0355613238157041,0,0,0,0,""
8,"monthly issuance",6563.82142857143,6533.81739130435,4.42857142857143,62,6,900,40391.5,"Female",1938,"Trutnov","east Bohemia",121947,70.5,8541,2.51,2.97,131,3496,3839,0.46,2.74,343,3667.5,0.030074540579104,0,0,0,0,""
9,"monthly issuance",17452.7,6600,2,65,4,900,34875,"Male",1935,"Prostejov","south Moravia",110643,51.9,8441,3.45,4.48,115,1879,2252,1.03,3.965,373,2065.5,0.0186681489113636,0,0,0,0,""
10,"monthly issuance",21584.5125,21666.6142857143,5.3125,57,5,900,75952.3,"Male",1943,"Hodonin","south Moravia",161954,48,8720,3.73,4.5,116,3729,3651,0.77,4.115,-78,3690,0.0227842473788854,0,0,0,0,""
12,"monthly issuance",4674.53541666667,4256.49777777778,5.10416666666667,19,7,400,78753,"Male",1981,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,0,0,0,0,""
13,"monthly issuance",16861.6,12100,2.6,26,4,1100,65638.5,"Female",1974,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,0,0,0,0,""
14,"monthly issuance",3583.98,2261.14545454545,3.73333333333333,58,5,300,31304.6,"Female",1942,"Sumperk","north Moravia",127369,51.2,8369,4.73,5.88,107,3736,2807,1.15,5.305,-929,3271.5,0.0256852138275405,0,0,0,0,""
20,"monthly issuance",19017.3153846154,19138.1351351351,5.66666666666667,21,7,800,66670.5,"Male",1979,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,0,0,0,0,""
24,"weekly issuance",23103.7928571429,25503.2432432432,4.34883720930233,61,7,575.7,155603.3,"Female",1939,"Hradec Kralove","east Bohemia",161854,76.3,9425,1.72,2.5,125,4085,3891,0.78,2.11,-194,3988,0.0246394899106602,0,0,0,0,""
25,"monthly issuance",18629.1692307692,20574.9818181818,6.15384615384615,61,5,715,58157.5,"Female",1939,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,30276,12,2523,-1,""
28,"monthly issuance",18361.1764705882,17427.48125,5.11764705882353,55,6,1100,68159.8,"Male",1945,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
29,"monthly issuance",24042.6386363636,22935.7069767442,5.31818181818182,49,7,800,72983.2,"Female",1951,"Sokolov","west Bohemia",94812,81.8,9650,3.38,3.67,100,2985,2804,0.29,3.525,-181,2894.5,0.0305288360123191,0,0,0,0,""
32,"monthly issuance",27157.9682926829,27783.3897435897,5.41463414634146,20,7,800,83469.3,"Male",1980,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,0,0,0,0,""
33,"monthly issuance",9657.8,9609.13157894736,5.3,52,7,900,40464.1,"Female",1948,"Opava","north Moravia",182027,56.4,8746,3.33,3.74,90,4355,4433,0.41,3.535,78,4394,0.0241392760414664,0,0,0,0,""
36,"monthly issuance",18968.3692307692,18634.544,6.80769230769231,22,6,700,59950.3,"Female",1978,"Melnik","central Bohemia",94725,63.4,9920,2.26,2.87,130,4289,4846,0.61,2.565,557,4567.5,0.0482185273159145,0,0,0,0,""
38,"monthly issuance",46799.4545454546,49740,6.18181818181818,27,5,400,129089.9,"Female",1973,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,0,0,0,0,""
39,"monthly issuance",58699.7878787879,59295.3625,7.57575757575758,32,6,800,128844.3,"Male",1968,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,0,0,0,0,""
40,"monthly issuance",17547.6352941176,16458.3466666667,3.82352941176471,43,5,700,75123.2,"Female",1957,"Kolin","central Bohemia",95616,51.4,9307,3.85,4.43,118,2616,3040,0.58,4.14,424,2828,0.029576639892905,0,0,0,0,""
41,"monthly issuance",25335.543902439,23975.5282051282,5.19512195121951,32,7,600,103726,"Male",1968,"Domazlice","west Bohemia",58400,52.4,8620,1.1,1.25,100,1089,1117,0.15,1.175,28,1103,0.0188869863013699,0,0,0,0,"gold"
42,"weekly issuance",34073.145,33865.358974359,6.2,65,7,600,94579.7,"Male",1935,"Bruntal","north Moravia",106054,63.1,8110,5.77,6.55,109,3244,3079,0.78,6.16,-165,3161.5,0.0298102853263432,0,0,0,0,""
43,"monthly issuance",5406.01666666667,5709.68108108108,5.73809523809524,80,7,600,32520.4,"Male",1920,"Prerov","north Moravia",138032,64.6,8819,5.38,5.66,99,4063,4505,0.28,5.52,442,4284,0.0310362814419845,0,0,0,0,""
44,"monthly issuance",21788.9166666667,21659.9219512195,5.80952380952381,23,7,500,70709.2,"Female",1977,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
47,"monthly issuance",6435.3075,6325.72222222223,5.925,66,7,1100,36322.3,"Male",1934,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,0,0,0,0,""
48,"monthly issuance",7534.35384615385,7720.33513513514,6,60,7,700,41560,"Male",1940,"Zlin","south Moravia",197099,74.7,9624,1.6,2.31,145,4484,4265,0.71,1.955,-219,4374.5,0.0221944302101989,0,0,0,0,""
50,"monthly issuance",9801.8,7266.66666666667,2.6,22,4,800,38101,"Female",1978,"Most","north Bohemia",119895,89.9,10446,7.34,9.4,90,4947,4743,2.06,8.37,-204,4845,0.0404103590641812,0,0,0,0,""
51,"monthly issuance",26517.1838709677,25459.6066666667,5.70967741935484,21,6,1100,84913.2,"Female",1979,"Liberec","north Bohemia",159617,85.2,9198,3.33,4.28,131,5796,6132,0.95,3.805,336,5964,0.0373644411309572,0,0,0,0,"junior"
52,"monthly issuance",4176.81818181818,4029.62564102564,4.47727272727273,76,7,400,29423.9,"Male",1924,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,0,0,0,0,""
55,"monthly issuance",38681.8024390244,38573.03,8.58536585365854,52,7,300,108508.9,"Female",1948,"Jicin","east Bohemia",77917,53.5,8390,2.28,2.89,132,2080,2122,0.61,2.585,42,2101,0.0269645905258159,0,0,0,0,""
56,"monthly issuance",17490.85,4800,2,40,4,700,34921,"Male",1960,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,0,0,0,0,""
59,"monthly issuance",17932.971875,18113.9933333333,6.53125,43,6,900,54126.1,"Male",1957,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,0,0,0,0,""
60,"monthly issuance",20882.9,15211.4,3.875,20,4,800,64131.5,"Male",1980,"Bruntal","north Moravia",106054,63.1,8110,5.77,6.55,109,3244,3079,0.78,6.16,-165,3161.5,0.0298102853263432,0,0,0,0,""
