"owner_id","frequency","avg_mensal_income","avg_mensal_expenses","avg_transaction_count","owner_ager","account_age","min_balance","max_balance","gender","birth_year","name","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","diffUnemploymant","avgUnemploymant","diffCrimes","avgCrimes","ratioCrimes","loan_id","amount","duration","payments","status","type"
2,2,20789.5727272727,22316.0666666667,4.90909090909091,55,7,1100,67529.6,2,1945,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,4959,80952,24,3373,1,1
25,2,18629.1692307692,20574.9818181818,6.15384615384615,61,5,715,58157.5,1,1939,"Tabor","south Bohemia",103347,67,9104,1.51,2.07,123,2299,2354,0.56,1.79,55,2326.5,0.0225115387964818,4961,30276,12,2523,-1,1
78,2,42802.2,43864.0222222222,6.57894736842105,56,6,700,107069.6,1,1944,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,4973,165960,24,6915,1,1
158,1,44940.1333333333,38146.6,5.16666666666667,55,4,200,103239,1,1945,"Teplice","north Bohemia",128118,85.3,9317,6.49,7.07,97,6949,6872,0.58,6.78,-77,6910.5,0.0539385566430946,4996,88440,12,7370,1,1
210,2,16235.1428571429,14271.7666666667,4.28571428571429,61,7,500,57865.3,2,1939,"Zdar nad Sazavou","south Moravia",125832,48.3,8512,3.51,4.12,102,2247,2103,0.61,3.815,-144,2175,0.0172849513637231,5002,104808,12,8734,1,1
352,2,25969.7090909091,28942.1777777778,5.54545454545455,60,7,300,89822.2,2,1940,"Breclav","south Moravia",124605,46,8772,4.69,4.98,126,2854,3158,0.29,4.835,304,3006,0.0241242325749368,5032,123696,48,2577,1,1
421,2,15977.3538461538,14597.0727272727,5.38461538461539,35,7,600,53376.7,2,1965,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,5044,100980,60,1683,1,1
424,2,29537.8588235294,32236.5285714286,5.17647058823529,53,7,-243.3,92571.3,2,1947,"Znojmo","south Moravia",114200,43.7,8403,5.74,5.72,105,2157,2718,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,5045,187224,24,7801,-1,1
512,2,43290.5,39939.75,6.77777777777778,35,7,900,106259.6,1,1965,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5060,252060,60,4201,-1,1
603,2,18671.3384615385,13887.1666666667,4.30769230769231,34,5,900,78574.3,1,1966,"Rakovnik","central Bohemia",53921,41.3,8598,2.77,3.26,123,1597,1875,0.49,3.015,278,1736,0.0321952486044398,5082,262980,60,4383,1,1
655,2,23976.73125,22949.9333333333,4.8125,58,5,400,72327.7,2,1942,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,5088,91152,24,3798,1,2
944,2,7312.87,7369,5.1,30,5,500,33555.4,2,1970,"Most","north Bohemia",119895,89.9,10446,7.34,9.4,90,4947,4743,2.06,8.37,-204,4845,0.0404103590641812,5125,73056,48,1522,1,1
946,2,22859.0933333333,20108.6,4.26666666666667,49,7,-1069.7,96064,2,1951,"Brno - mesto","south Moravia",387570,100,9897,1.6,1.96,140,18721,18696,0.36,1.78,-25,18708.5,0.0482712800268339,5126,208128,48,4336,-1,1
968,2,15015.2090909091,17391.8444444444,5.54545454545455,43,5,-3424.6,50124.8,2,1957,"Jesenik","north Moravia",42821,48.4,8173,7.01,7.01,124,1358,1358,0,7.01,0,1358,0.0317134116438196,5128,215616,48,4492,-1,1
976,2,13817.36,12771.3285714286,4.875,45,7,1100,48277.9,1,1955,"Jindrichuv Hradec","south Bohemia",93931,56.9,8427,1.12,1.54,107,1874,1913,0.42,1.33,39,1893.5,0.0201584141550713,5130,24312,12,2026,1,1
980,2,43327.8235294118,43036.2,6.5,39,7,200,134187.4,2,1961,"Usti nad Orlici","east Bohemia",139012,61.9,8363,2.52,3.49,108,2564,2799,0.97,3.005,235,2681.5,0.0192897016084942,5131,48624,24,2026,1,1
981,2,21511.1333333333,21351.1454545455,4.83333333333333,40,6,200,69775.9,2,1960,"Kolin","central Bohemia",95616,51.4,9307,3.85,4.43,118,2616,3040,0.58,4.14,424,2828,0.029576639892905,5132,538500,60,8975,1,1
1020,2,57741.4,67276.4,5,23,4,300,137193.5,1,1977,"Olomouc","north Moravia",226122,62.6,8994,3.8,4.79,110,9672,9208,0.99,4.295,-464,9440,0.041747375310673,5136,187104,24,7796,1,1
1029,2,11070.919047619,10826,7.04761904761905,46,7,700,43787.3,1,1954,"Uherske Hradiste","south Moravia",145688,40.7,8544,1.29,1.86,109,2719,2906,0.57,1.575,187,2812.5,0.0193049530503542,5138,87216,48,1817,1,1
1102,2,36767.4777777778,34888.475,3.88888888888889,65,5,700,121713.2,2,1935,"Olomouc","north Moravia",226122,62.6,8994,3.8,4.79,110,9672,9208,0.99,4.295,-464,9440,0.041747375310673,5145,309552,48,6449,1,1
1133,2,39076.9578947369,35991.3777777778,4.94736842105263,42,6,300,109361.9,1,1958,"Litomerice","north Bohemia",114006,62.3,9065,4.46,5.39,123,4147,4166,0.93,4.925,19,4156.5,0.0364586074417136,5148,284280,60,4738,1,1
1157,1,43139.2142857143,46605.8,4.28571428571429,42,6,200,101793.6,1,1958,"Kladno","central Bohemia",149893,67.4,9753,4.64,5.05,109,5244,5892,0.41,4.845,648,5568,0.0371464978351224,5151,189060,60,3151,1,1
1215,2,20716.2307692308,21028.9272727273,5,56,6,400,68172.8,2,1944,"Jicin","east Bohemia",77917,53.5,8390,2.28,2.89,132,2080,2122,0.61,2.585,42,2101,0.0269645905258159,5160,204000,60,3400,1,1
1216,2,24914.05,10233.3333333333,3.5,55,6,500,68956.1,1,1945,"Znojmo","south Moravia",114200,43.7,8403,5.74,5.72,105,2157,2718,-0.0200000000000005,5.73,561,2437.5,0.0213441330998249,5161,98184,24,4091,1,1
1286,3,31642.0777777778,25453.5,4.55555555555556,50,7,800,104417.9,1,1950,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,5170,253200,60,4220,1,1
1327,3,10557.36,10471.9230769231,3.4,37,7,800,49563,1,1963,"Strakonice","south Bohemia",70646,58.4,8547,2.65,3.64,120,1563,1542,0.99,3.145,-21,1552.5,0.0219757664977493,5176,192552,24,8023,-1,1
1404,2,18993.16,21362.25,5.4,32,7,200,62441.6,1,1968,"Praha - zapad","central Bohemia",75637,36.5,9622,0.45,0.59,154,3475,3529,0.14,0.52,54,3502,0.046300091225194,5189,149040,48,3105,1,1
1505,2,32459.48,41081.5066666667,5.14285714285714,29,7,-974.6,127684.9,1,1971,"Klatovy","west Bohemia",88757,61.7,8554,2.47,2.68,113,1822,2218,0.21,2.575,396,2020,0.0227587683224985,5208,99696,48,2077,-1,1
1509,2,21833.4666666667,21575.35,4.44444444444444,58,4,600,64411.8,1,1942,"Uherske Hradiste","south Moravia",145688,40.7,8544,1.29,1.86,109,2719,2906,0.57,1.575,187,2812.5,0.0193049530503542,5209,182640,48,3805,1,1
1516,2,16160.4071428571,16237.4,6.14285714285714,54,6,700,55373.3,1,1946,"Louny","north Bohemia",85852,59.8,8965,7.08,8.23,104,2653,2822,1.15,7.655,169,2737.5,0.0318862693938406,5212,71064,36,1974,1,1
1663,2,21274.1352941176,21454.7066666667,5.29411764705882,43,6,800,71486,2,1957,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,5237,45336,24,1889,1,1
1851,1,30323.5923076923,31116.2833333333,5,25,7,-2564.7,112045.6,1,1975,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,5269,164052,36,4557,-1,1
1917,1,20841.5454545455,19991.2761904762,5.45454545454545,31,6,-2838.8,84743.5,1,1969,"Jesenik","north Moravia",42821,48.4,8173,7.01,7.01,124,1358,1358,0,7.01,0,1358,0.0317134116438196,5282,388512,48,8094,-1,1
1944,2,9540.5,8850.5,5.1,43,7,900,40560.3,1,1957,"Hl.m. Praha","Prague",1204953,100,12541,0.29,0.43,167,85677,99107,0.14,0.36,13430,92392,0.0766768496364588,5285,78936,12,6578,1,1
2063,2,17109.95,7066.66666666667,2.5,50,4,800,63263.1,1,1950,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,5301,141948,36,3943,1,1
2136,2,20456.2470588235,20443.1733333333,7.05882352941176,60,7,600,67486,1,1940,"Plzen - sever","west Bohemia",72541,36.9,8594,1.62,2.01,112,1580,1525,0.39,1.815,-55,1552.5,0.0214016900787141,5310,248148,36,6893,1,1
2141,2,21643.0363636364,21381.16,8.45454545454546,49,6,500,69382.9,2,1951,"Plzen - sever","west Bohemia",72541,36.9,8594,1.62,2.01,112,1580,1525,0.39,1.815,-55,1552.5,0.0214016900787141,5311,30060,60,501,1,2
2148,3,48456.4071428571,45905.0769230769,5.64285714285714,47,5,1100,139880.9,1,1953,"Tachov","west Bohemia",51313,59.2,8930,3.52,4.2,108,1328,1452,0.68,3.86,124,1390,0.0270886519985189,5312,202788,36,5633,1,1
2181,2,38315.6166666667,44421.2,6.16666666666667,32,7,700,120512.8,2,1968,"Nachod","east Bohemia",112709,73.5,8369,1.79,2.31,117,2854,2618,0.52,2.05,-236,2736,0.0242749026253449,5316,165960,36,4610,1,1
2195,2,24098.29,22749.1555555556,4.6,58,7,300,74408.8,1,1942,"Teplice","north Bohemia",128118,85.3,9317,6.49,7.07,97,6949,6872,0.58,6.78,-77,6910.5,0.0539385566430946,5319,239460,60,3991,1,1
2235,2,17187.1142857143,17203.44,3.57142857142857,60,7,1000,65898.5,1,1940,"Pribram","central Bohemia",107870,58,8754,3.83,4.31,137,3804,3868,0.48,4.07,64,3836,0.0355613238157041,5325,105804,36,2939,1,1
2259,3,40877.1210526316,38225.2777777778,5,50,5,500,104859.1,1,1950,"Prachatice","south Bohemia",51428,52.7,8402,3.13,3.98,120,999,1099,0.85,3.555,100,1049,0.0203974488605429,5329,396120,60,6602,1,1
2288,2,30087.76,18950,3,43,4,700,83862.8,1,1957,"Ceska Lipa","north Bohemia",105058,81,9272,2.8,3.22,118,4340,4505,0.42,3.01,165,4422.5,0.0420957947038779,5337,162468,36,4513,1,1
2392,3,21839.38,20935.6923076923,4,45,5,900,88597.4,2,1955,"Plzen - mesto","west Bohemia",170449,100,10787,2.64,3.09,131,6041,6261,0.45,2.865,220,6151,0.0360870406983907,5350,249312,48,5194,1,1
2403,3,34641.3388888889,31608.7777777778,6.78947368421053,37,7,900,93928.5,1,1963,"Hodonin","south Moravia",161954,48,8720,3.73,4.5,116,3729,3651,0.77,4.115,-78,3690,0.0227842473788854,5351,205200,36,5700,1,1
2422,2,10457.7,7760,2.33333333333333,24,6,800,51242.2,1,1976,"Frydek - Mistek","north Moravia",228848,57.2,9893,4.09,4.72,96,5623,5887,0.63,4.405,264,5755,0.0251476962874921,5352,68400,12,5700,-1,1
2501,2,46072.225,46988.1142857143,5.25,60,4,300,128146,1,1940,"Karvina","north Moravia",285387,89.9,10177,6.63,7.75,81,9878,10108,1.12,7.19,230,9993,0.0350156103816922,5366,86184,12,7182,1,1
